month,anemone,zub,symb.status,target.temp.fac,avg.temp,prot.ug.anemone,symb.cells.anemone,symb.per.prot,totalchl.ug.anemone,totalchl.ug.symb,totalchl.ug.ugprot,nonsymb.pHi.med,symb.pHi.med,GP.umol.ug.hr,R.umol.ug.hr,host.13C.percent,symb.13C.percent,temp
May,29B,29,sym,31,29.78,196.9645533,598774.5711,3040.011824,0.613229167,0.003113399,0.003113399,NA,NA,-5.95E-05,0.002024222,NA,NA,31.00
May,2A,2,apo,27,26.92,112.1816733,363.7784048,3.242761442,0.253703704,0.002261543,0.002261543,7.056873184,NA,0.004293375,0.001228703,NA,NA,27.00
May,2B,2,apo,27,26.92,112.4960716,18431.44729,163.8408081,0.055104167,0.000489832,0.000489832,NA,NA,0.000150672,-0.000561673,NA,NA,27.00
May,30A,30,sym,31,29.78,233.9211933,469320.758,2006.319955,0.700833333,0.002996023,0.002996023,7.336508481,6.948762791,-0.000247801,0.001222001,1.1049202,1.109224,31.00
May,30B,30,sym,31,29.78,175.575218,437254.6783,2490.412276,0.827291667,0.004711893,0.004711893,NA,NA,0.002491753,0.008827875,NA,NA,31.00
May,31A,31,sym,31,29.78,264.3560733,383515.4299,1450.75324,0.3765625,0.001424452,0.001424452,7.476749391,7.135979447,-0.000109057,0.001635294,1.1064934,1.1126626,31.00
May,31B,31,sym,31,29.78,112.2088227,304449.0378,2713.236183,0.366666667,0.003267717,0.003267717,NA,NA,0.000412962,0.015101593,NA,NA,31.00
May,32A,32,sym,31,29.78,140.2455124,399559.7437,2849.001988,0.568020833,0.004050189,0.004050189,7.302725274,7.240921095,-0.001807331,0.003137726,1.112112,1.1216636,31.00
May,32B,32,sym,31,29.78,134.5484639,192222.2222,1428.646725,1.025104167,0.007618847,0.007618847,NA,NA,-0.001040859,0.010908932,NA,NA,31.00
May,3A,3,apo,27,26.92,118.3411133,181.8892024,1.536990799,0,0,0,7.416580207,NA,0.000619616,0.001403654,NA,NA,27.00
May,3B,3,apo,27,26.92,155.2977533,8366.906362,53.87654478,0,0,0,NA,NA,0.000918172,-0.000784416,NA,NA,27.00
May,4A,4,apo,27,26.92,64.000965,2085.662854,32.58799073,0,0,0,7.338085139,NA,0.000333089,0.001662069,NA,NA,27.00
May,4B,4,apo,27,26.92,83.28790065,8391.156552,100.7488061,0,0,0,NA,NA,0.00099335,0.00438784,NA,NA,27.00
May,5A,5,apo,29,28.26,94.36805016,424.4081389,4.497371072,0,0,0,7.459673209,NA,-0.001528229,0.001170905,NA,NA,29.00
May,5B,5,apo,29,28.26,57.65047693,1248.972557,21.66456591,0.071354167,0.001237703,0.001237703,NA,NA,-0.000241039,-0.000209816,NA,NA,29.00
