Tank,date_time2,Date,Time,Status,day,month,Cohort,Zub_temp,Target.temp,meanTemp,Day
1,2022-02-03 20:00:00,2022-02-03,20:00:00,Apo,3,Feb,LD,24.0799113333333,25,24.6,4
1,2022-02-03 20:00:00,2022-02-03,20:00:00,Symb,3,Feb,LD,23.9174113333333,25,24.6,4
1,2022-02-03 21:00:00,2022-02-03,21:00:00,Apo,3,Feb,LD,23.937978,25,24.6,4
1,2022-02-03 21:00:00,2022-02-03,21:00:00,Symb,3,Feb,LD,23.775478,25,24.6,4
1,2022-02-03 22:00:00,2022-02-03,22:00:00,Apo,3,Feb,LD,23.8153946666667,25,24.6,4
1,2022-02-03 22:00:00,2022-02-03,22:00:00,Symb,3,Feb,LD,23.6528946666667,25,24.6,4
1,2022-02-03 23:00:00,2022-02-03,23:00:00,Apo,3,Feb,LD,24.0992196666667,25,24.6,4
1,2022-02-03 23:00:00,2022-02-03,23:00:00,Symb,3,Feb,LD,23.9367196666667,25,24.6,4
1,2022-02-04 00:00:00,2022-02-04,00:00:00,Apo,4,Feb,LD,23.9908696666667,25,24.6,5
1,2022-02-04 00:00:00,2022-02-04,00:00:00,Symb,4,Feb,LD,23.8283696666667,25,24.6,5
1,2022-02-04 01:00:00,2022-02-04,01:00:00,Apo,4,Feb,LD,23.8436863333333,25,24.6,5
1,2022-02-04 01:00:00,2022-02-04,01:00:00,Symb,4,Feb,LD,23.6811863333333,25,24.6,5
1,2022-02-04 02:00:00,2022-02-04,02:00:00,Apo,4,Feb,LD,23.9540696666667,25,24.6,5
1,2022-02-04 02:00:00,2022-02-04,02:00:00,Symb,4,Feb,LD,23.7915696666667,25,24.6,5
1,2022-02-04 03:00:00,2022-02-04,03:00:00,Apo,4,Feb,LD,24.079103,25,24.6,5
1,2022-02-04 03:00:00,2022-02-04,03:00:00,Symb,4,Feb,LD,23.916603,25,24.6,5
1,2022-02-04 04:00:00,2022-02-04,04:00:00,Apo,4,Feb,LD,23.9494113333333,25,24.6,5
1,2022-02-04 04:00:00,2022-02-04,04:00:00,Symb,4,Feb,LD,23.7869113333333,25,24.6,5
1,2022-02-04 05:00:00,2022-02-04,05:00:00,Apo,4,Feb,LD,23.8517696666667,25,24.6,5
1,2022-02-04 05:00:00,2022-02-04,05:00:00,Symb,4,Feb,LD,23.6892696666667,25,24.6,5
1,2022-02-04 06:00:00,2022-02-04,06:00:00,Apo,4,Feb,LD,23.789528,25,24.6,5
1,2022-02-04 06:00:00,2022-02-04,06:00:00,Symb,4,Feb,LD,23.627028,25,24.6,5
1,2022-02-04 07:00:00,2022-02-04,07:00:00,Apo,4,Feb,LD,23.827653,25,24.6,5
